key	mapping coverage
Spike4Barcode16	42.6776
Spike4Barcode15	62.896
Spike4Barcode14	12.5229
Spike4Barcode13	21.1024
Spike4Barcode12	0.0145138
Spike4Barcode11	0.0474735
Spike4Barcode10	0.442104
Spike4Barcode09	2.10442
Spike4Barcode08	0.0160166
Spike4Barcode07	0
Spike4Barcode06	0.268845
Spike4Barcode05	0.635807
Spike4Barcode04	0.45316
Spike4Barcode03	0.683321
Spike4Barcode02	16.4411
Spike2bBarcode10	99.9085
Spike2bBarcode11	85.7744
Spike2bBarcode12	83.0766
Spike2bBarcode13	48.3972
Spike2bBarcode14	42.8683
Spike2bBarcode15	31.1308
Spike3Barcode10	18.5305
Spike3Barcode11	12.9802
Spike3Barcode12	4.82076
Spike3Barcode13	0.0102523
Spike3Barcode14	0.29849
Spike3Barcode15	0.0699544
Spike3bBarcode10	85.0945
Spike3bBarcode11	78.5076
Spike3bBarcode12	78.6283
Spike3bBarcode13	1.76679
Spike3bBarcode14	5.88566
Spike3bBarcode15	2.9996
Spike4Barcode01	90.4182
Spike1Barcode10	99.9741
Spike1Barcode11	77.5061
Spike1Barcode12	11.4902
Spike1Barcode13	1.1132
Spike1Barcode14	8.45878
Spike1Barcode15	1.35009
Spike2Barcode10	99.6579
Spike2Barcode11	81.7384
Spike2Barcode12	81.0225
Spike2Barcode13	4.20593
Spike2Barcode14	13.1805
Spike2Barcode15	1.41455
